user_id,recipe_id,predicted_rating,rank,n_missing
1533,82032,4.8347,1,2.0
1533,60952,4.8347,2,3.0
1535,155018,4.6144,1,0.0
1535,632,4.6142,2,0.0
1535,4571,4.6208,3,1.0
1535,25885,4.6207,4,1.0
1535,63501,4.6185,5,1.0
1535,133448,4.6132,6,1.0
1535,16365,4.6127,7,1.0
1535,18914,4.6314,8,2.0
1535,174796,4.6151,9,2.0
1535,9973,4.6127,10,2.0
1535,61946,4.639,11,3.0
1535,43998,4.615,12,3.0
1535,87782,4.6134,13,3.0
1634,15411,4.4119,1,2.0
1634,108522,4.4113,2,2.0
1634,113229,4.4113,3,3.0
1676,204040,4.9007,1,2.0
1676,41979,4.9006,2,2.0
1676,64049,4.9005,3,3.0
1676,139989,4.9004,4,3.0
1792,96988,4.8014,1,2.0
1792,162873,4.8012,2,2.0
1792,32142,4.8015,3,3.0
1792,40767,4.8015,4,3.0
1792,108522,4.8013,5,3.0
1891,108522,4.8593,1,1.0
1891,59636,4.8603,2,2.0
1891,73033,4.8591,3,2.0
1891,13269,4.8581,4,3.0
2148,204040,4.8752,1,2.0
2148,41979,4.8752,2,2.0
2148,413686,4.8751,3,3.0
2178,177558,4.5796,1,1.0
2178,155018,4.5797,2,2.0
2178,18914,4.5796,3,2.0
2178,74730,4.5796,4,3.0
2310,18914,4.8016,1,1.0
2310,84104,4.8014,2,1.0
2310,190896,4.8014,3,1.0
2310,106715,4.801,4,1.0
2310,174796,4.8006,5,2.0
2310,9973,4.8005,6,2.0
2310,62994,4.8004,7,2.0
2310,56746,4.8003,8,2.0
2310,15242,4.8014,9,3.0
2310,632,4.8006,10,3.0
2310,147494,4.8003,11,3.0
2312,139989,4.7506,1,0.0
2312,41979,4.7523,2,2.0
2312,204040,4.7538,3,3.0
2312,33561,4.7538,4,3.0
2312,360407,4.7502,5,3.0
2586,192,5.0,1,1.0
2586,142,5.0,2,3.0
2586,242,5.0,3,3.0
2695,84104,4.0077,1,2.0
2695,174796,4.0077,2,3.0
2695,56746,4.0074,3,3.0
3111,18914,4.5024,1,3.0
3111,174796,4.502,2,3.0
3205,96988,4.8197,1,2.0
3205,113229,4.8193,2,2.0
3205,9494,4.8196,3,3.0
3205,97486,4.8194,4,3.0
3205,49172,4.8194,5,3.0
3205,138317,4.8194,6,3.0
3288,44833,4.4769,1,0.0
3288,34382,4.4787,2,1.0
3288,5170,4.4781,3,1.0
3288,65340,4.4771,4,1.0
3288,95569,4.4833,5,2.0
3288,83524,4.482,6,2.0
3288,9494,4.4791,7,2.0
3288,106627,4.4787,8,2.0
3288,44888,4.4773,9,2.0
3288,69173,4.4848,10,3.0
3288,114558,4.4788,11,3.0
3288,137287,4.4777,12,3.0
3288,49172,4.4776,13,3.0
4291,18914,4.6832,1,1.0
4291,123565,4.6789,2,1.0
4291,25885,4.6787,3,1.0
4291,9836,4.6846,4,2.0
4291,4571,4.6797,5,2.0
4291,174796,4.6786,6,2.0
4291,155021,4.6799,7,3.0
4291,84104,4.6799,8,3.0
4291,26370,4.6797,9,3.0
4439,24799,4.8391,1,0.0
4439,42780,4.8405,2,1.0
4439,95311,4.8337,3,1.0
4439,131018,4.8457,4,2.0
4439,9836,4.8436,5,2.0
4439,68159,4.8419,6,2.0
4439,33914,4.8362,7,2.0
4439,101104,4.8339,8,2.0
4439,68955,4.8531,9,3.0
4439,87782,4.8445,10,3.0
4439,27210,4.8429,11,3.0
4439,66121,4.8398,12,3.0
4439,89207,4.8362,13,3.0
4470,15411,4.941,1,0.0
4470,56103,4.9361,2,0.0
4470,54257,4.9505,3,1.0
4470,131018,4.9379,4,1.0
4470,249492,4.9365,5,1.0
4470,73033,4.9364,6,1.0
4470,89204,4.9416,7,2.0
4470,77397,4.9412,8,2.0
4470,28603,4.9385,9,2.0
4470,212395,4.9366,10,2.0
4470,170285,4.9362,11,2.0
