user_id,recipe_id,predicted_rating,rank,n_missing
1533,517410,5.0,1,1.0
1533,118434,5.0,2,1.0
1533,64854,5.0,3,1.0
1533,505620,5.0,4,2.0
1533,118205,5.0,5,2.0
1533,118199,5.0,6,2.0
1533,64860,5.0,7,2.0
1533,505784,5.0,8,3.0
1533,505571,5.0,9,3.0
1533,118324,5.0,10,3.0
1535,74988,5.0,1,0.0
1535,301848,5.0,2,2.0
1535,242,5.0,3,2.0
1535,107408,5.0,4,2.0
1535,75056,5.0,5,3.0
1535,302814,5.0,6,3.0
1535,302142,5.0,7,3.0
1535,302165,5.0,8,3.0
1535,61659,5.0,9,3.0
1535,85711,5.0,10,3.0
1634,235736,5.0,1,3.0
1634,286617,5.0,2,3.0
1634,170099,5.0,3,3.0
1634,28980,5.0,4,3.0
1676,271,5.0,1,2.0
1676,517410,5.0,2,2.0
1676,93375,5.0,3,3.0
1792,254206,5.0,1,1.0
1792,140140,5.0,2,2.0
1792,254048,5.0,3,2.0
1792,140660,5.0,4,2.0
1792,140034,5.0,5,3.0
1792,254131,5.0,6,3.0
1891,693,5.0,1,3.0
1891,123628,5.0,2,3.0
1891,123659,5.0,3,3.0
1891,72994,5.0,4,3.0
2178,95365,5.0,1,1.0
2178,215689,5.0,2,2.0
2178,240744,5.0,3,3.0
2178,95312,5.0,4,3.0
2178,215501,5.0,5,3.0
2178,396206,5.0,6,3.0
2178,349775,5.0,7,3.0
2178,197284,5.0,8,3.0
2178,89207,5.0,9,3.0
2178,89474,5.0,10,3.0
2310,99992,5.0,1,1.0
2310,505997,5.0,2,1.0
2310,192,5.0,3,1.0
2310,103254,5.0,4,2.0
2310,510906,5.0,5,3.0
2310,170604,5.0,6,3.0
2310,103434,5.0,7,3.0
2310,103435,5.0,8,3.0
2310,506,5.0,9,3.0
2312,504246,5.0,1,0.0
2312,505997,5.0,2,1.0
2312,107439,5.0,3,1.0
2312,504245,5.0,4,1.0
2312,144349,5.0,5,1.0
2312,93,5.0,6,2.0
2312,192,5.0,7,2.0
2312,160873,5.0,8,2.0
2312,107273,5.0,9,3.0
2312,503894,5.0,10,3.0
2312,503916,5.0,11,3.0
2586,192,5.0,1,1.0
2586,142,5.0,2,3.0
2586,242,5.0,3,3.0
2695,491858,5.0,1,3.0
3111,37844,5.0,1,3.0
3205,109416,5.0,1,2.0
3205,501988,5.0,2,3.0
3288,53558,5.0,1,1.0
3288,970,5.0,2,1.0
3288,85273,5.0,3,1.0
3288,85258,5.0,4,2.0
3288,141516,5.0,5,2.0
